,name,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(km/ltr/kg),engine,max_power,seats,car_age,price_per_km
669,Mahindra Bolero 2011-2019 Plus AC,550000,120000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,9.0,9,34461.15288220551
670,Toyota Etios GD,300000,120000,Diesel,Individual,Manual,Second Owner,19.41878335651954,1428.1927441027171,87.30303358208954,5.0,13,15448.959622863287
671,Mahindra Bolero PLUS AC BSIII,320000,175000,Diesel,Individual,Manual,Third Owner,13.6,2523.0,63.0,7.0,14,23529.411764705885
672,Mahindra Bolero 2011-2019 Plus - AC BSIII,320000,175000,Diesel,Individual,Manual,Third Owner,15.96,2523.0,63.0,9.0,14,20050.125313283206
673,Nissan Sunny XE,350000,25000,Petrol,Individual,Manual,Second Owner,16.95,1498.0,97.7,5.0,14,20648.96755162242
674,Tata Manza Club Class Quadrajet90 VX,280000,80000,Diesel,Individual,Manual,First Owner,21.02,1248.0,88.76,5.0,12,13320.647002854424
675,Hyundai Xcent 1.1 CRDi SX Option,550000,70000,Diesel,Individual,Manual,Second Owner,24.4,1120.0,71.0,5.0,8,22540.98360655738
676,Hyundai Xcent 1.2 VTVT E Plus,500000,10000,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,5.0,7,24826.216484607747
677,Ford Freestyle Titanium Plus Petrol BSIV,700000,6000,Petrol,Individual,Manual,First Owner,19.0,1194.0,94.68,5.0,6,36842.10526315789
678,Skoda Rapid Ultima 1.6 TDI Elegance,380000,90000,Diesel,Individual,Manual,Second Owner,20.5,1598.0,103.5,5.0,12,18536.585365853658
679,Mahindra Bolero 2011-2019 Plus - AC BSIII,340000,110000,Diesel,Individual,Manual,Second Owner,15.96,2523.0,63.0,9.0,13,21303.25814536341
680,Mahindra Bolero 2011-2019 Plus-AC Plus PS BSIII,160000,120000,Diesel,Individual,Manual,Third Owner,13.6,2523.0,63.0,9.0,18,11764.705882352942
681,Toyota Innova 2.5 G (Diesel) 7 Seater,750000,50000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,7.0,11,57736.72055427251
682,Hyundai Grand i10 1.2 Kappa Magna AT,531000,20000,Petrol,Individual,Automatic,First Owner,18.9,1197.0,81.86,5.0,7,28095.2380952381
683,Renault KWID 1.0 RXT Optional,300000,35000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5.0,8,13037.809647979138
684,Volkswagen Polo 1.5 TDI Comfortline,350000,60000,Diesel,Individual,Manual,Second Owner,20.14,1498.0,88.8,5.0,11,17378.351539225423
685,Chevrolet Beat LT,150000,68000,Petrol,Individual,Manual,Fourth & Above Owner,18.6,1199.0,79.4,5.0,15,8064.516129032258
686,Maruti Swift VXI Optional,450000,30000,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5.0,10,22058.823529411766
687,Mahindra XUV500 W10 2WD,1625000,54000,Diesel,Individual,Manual,First Owner,16.0,2179.0,140.0,7.0,8,101562.5
688,Maruti Swift 1.3 VXi,140000,65000,Petrol,Individual,Manual,Third Owner,19.41878335651954,1428.1927441027171,87.30303358208954,5.0,19,7209.514490669534
689,Mahindra Bolero GLX,250000,80000,Diesel,Individual,Manual,Third Owner,19.41878335651954,1428.1927441027171,87.30303358208954,5.0,21,12874.133019052739
690,Tata Indica V2 DLX TC,85000,120000,Diesel,Individual,Manual,Third Owner,16.8,1405.0,68.0,5.0,19,5059.523809523809
691,Hyundai Grand i10 1.2 Kappa Magna BSIV,450000,30000,Petrol,Individual,Manual,First Owner,18.9,1197.0,81.86,5.0,7,23809.523809523813
692,Maruti Zen Estilo VXI BSIV W ABS,170000,55113,Petrol,Individual,Manual,First Owner,19.41878335651954,1428.1927441027171,87.30303358208954,5.0,14,8754.410452955863
693,Tata Tiago 1.05 Revotorq XM,360000,50000,Diesel,Individual,Manual,First Owner,27.28,1047.0,69.0,5.0,8,13196.480938416422
694,Maruti Alto K10 VXI,390000,6000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,5.0,5,16283.9248434238
695,Maruti Eeco 7 Seater Standard BSIV,145000,50000,Petrol,Individual,Manual,Second Owner,15.37,1196.0,73.0,7.0,14,9433.962264150943
696,Mahindra Scorpio VLX 2WD AIRBAG SE BSIV,540000,90000,Diesel,Individual,Manual,Third Owner,12.05,2179.0,120.0,8.0,13,44813.27800829875
697,Toyota Innova 2.5 E Diesel MS 8-seater,290000,126000,Diesel,Individual,Manual,Third Owner,12.8,2494.0,102.0,8.0,17,22656.25
698,Tata Indigo eCS VX BSIV,300000,90000,Diesel,Individual,Manual,First Owner,25.0,1396.0,69.0,5.0,12,12000.0
699,Ford Figo Aspire 1.2 Ti-VCT Titanium,565000,80000,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,5.0,8,31112.334801762114
700,Mahindra Scorpio 2.6 CRDe SLE,441000,70000,Diesel,Individual,Manual,Second Owner,10.5,2609.0,120.0,7.0,14,42000.0
701,Hyundai Santro Xing XP,50000,80000,Petrol,Individual,Manual,Second Owner,19.41878335651954,1428.1927441027171,87.30303358208954,5.0,22,2574.826603810548
702,Hyundai EON Era Plus,180000,80000,Petrol,Individual,Manual,Second Owner,21.1,814.0,55.2,5.0,14,8530.80568720379
703,Hyundai EON D Lite,200000,80000,Petrol,Individual,Manual,Second Owner,21.1,814.0,55.2,5.0,12,9478.67298578199
704,Maruti Alto LX,85000,150000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,20,4314.720812182742
705,Tata Indica V2 DL BSIII,67500,110000,Diesel,Individual,Manual,Fourth & Above Owner,17.88,1396.0,52.8,5.0,19,3775.1677852348994
706,Maruti Vitara Brezza ZDi Plus Dual Tone,700000,110000,Diesel,Individual,Manual,Second Owner,24.3,1248.0,88.5,5.0,9,28806.584362139918
707,Volkswagen Polo Diesel Highline 1.2L,275000,80000,Diesel,Individual,Manual,Fourth & Above Owner,22.07,1199.0,73.9,5.0,15,12460.353420933394
708,Hyundai Grand i10 1.2 Kappa Sportz BSIV,600000,20000,Petrol,Individual,Manual,First Owner,18.9,1197.0,81.86,5.0,6,31746.03174603175
709,Mahindra Xylo D2,250000,120000,Diesel,Individual,Manual,First Owner,13.0,2489.0,95.0,8.0,14,19230.76923076923
710,Mahindra Bolero 2011-2019 DI - AC BS III,600000,120000,Diesel,Individual,Manual,First Owner,15.96,2523.0,63.0,9.0,9,37593.984962406015
711,Fiat Linea 1.3 Active,200000,80000,Diesel,Individual,Manual,Second Owner,20.4,1248.0,91.2,5.0,15,9803.921568627451
712,Hyundai Grand i10 CRDi Sportz,425000,91500,Diesel,Individual,Manual,Second Owner,24.0,1120.0,70.0,5.0,10,17708.333333333332
713,Maruti Swift Dzire VDi,420000,120000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,5.0,13,21761.65803108808
714,Hyundai i20 1.4 CRDi Era,321000,100000,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90.0,5.0,13,13956.521739130434
715,Mahindra Xylo D4 BSIV,350000,120000,Diesel,Individual,Manual,Fourth & Above Owner,14.0,2498.0,112.0,8.0,13,25000.0
716,Honda Amaze i-VTEC Privilege Edition,490000,80000,Petrol,Individual,Manual,First Owner,17.8,1198.0,86.7,5.0,8,27528.08988764045
717,Mahindra Scorpio S2 7 Seater,680000,90000,Diesel,Individual,Manual,First Owner,15.4,2523.0,75.0,7.0,10,44155.844155844155
718,Maruti Alto K10 VXI,298000,70000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,5.0,9,12442.58872651357
719,Hyundai Santro GLS I - Euro I,80000,110000,Petrol,Individual,Manual,Second Owner,19.41878335651954,1428.1927441027171,87.30303358208954,5.0,26,4119.722566096877
720,Mahindra Scorpio M2DI,450000,150000,Diesel,Individual,Manual,Fourth & Above Owner,13.5,2179.0,115.0,5.0,14,33333.333333333336
721,Skoda Superb 1.8 TSI,400000,60000,Petrol,Individual,Automatic,Second Owner,19.41878335651954,1428.1927441027171,87.30303358208954,5.0,15,20598.612830484384
722,Tata Indica Vista Quadrajet ZX,250000,40000,Diesel,Individual,Manual,First Owner,22.3,1248.0,74.0,5.0,13,11210.762331838565
723,Ford Endeavour Hurricane Limited Edition,1075000,110000,Diesel,Individual,Automatic,Third Owner,12.8,2953.0,156.0,7.0,12,83984.375
724,Hyundai Grand i10 Sportz,500000,20000,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5.0,8,26455.02645502646
725,Ford Freestyle Trend Petrol BSIV,681000,10000,Petrol,Individual,Manual,First Owner,19.0,1194.0,94.68,5.0,6,35842.10526315789
726,Mahindra XUV500 W8 2WD,650000,90000,Diesel,Individual,Manual,Second Owner,15.1,2179.0,140.0,7.0,11,43046.35761589404
727,Chevrolet Aveo U-VA 1.2 LS,80000,70000,Petrol,Individual,Manual,Second Owner,15.26,1150.0,74.9,5.0,17,5242.463958060289
728,Mahindra Bolero SLX 2WD BSIII,290000,120000,Diesel,Individual,Manual,First Owner,13.6,2523.0,63.0,7.0,16,21323.529411764706
729,Mahindra Scorpio 2.6 SPORTZ CRDe,220000,120000,Diesel,Individual,Manual,Second Owner,10.5,2179.0,120.0,8.0,19,20952.380952380954
730,Hyundai Santro Xing GL,120000,90000,Petrol,Individual,Manual,Second Owner,0.0,1086.0,62.0,5.0,16,inf
731,Datsun RediGO Sport,229999,80000,Petrol,Individual,Manual,First Owner,22.7,799.0,53.0,5.0,8,10132.114537444933
732,Mahindra Bolero ZLX BSIII,150000,132478,Diesel,Individual,Manual,Second Owner,13.6,2523.0,63.0,7.0,22,11029.411764705883
733,Maruti Swift Dzire VXI,500000,45000,Petrol,Individual,Manual,First Owner,19.1,1197.0,85.8,5.0,11,26178.010471204187
734,Tata Indigo CS LS (TDI) BS III,175000,120000,Diesel,Individual,Manual,First Owner,19.09,1396.0,69.0,5.0,12,9167.103195390257
735,Ford Freestyle Titanium Petrol BSIV,720000,10000,Petrol,Individual,Manual,First Owner,19.0,1194.0,94.68,5.0,6,37894.73684210526
736,Maruti 800 AC,100000,51000,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,4.0,13,6211.1801242236015
737,Honda Civic 1.8 V AT,250000,105000,Petrol,Individual,Automatic,Second Owner,12.9,1799.0,130.0,5.0,16,19379.84496124031
738,Mahindra XUV500 W6 2WD,810000,100000,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,7.0,11,53642.384105960264
739,Maruti Alto LXi,165000,30000,Petrol,Individual,Manual,Third Owner,19.7,796.0,46.3,5.0,15,8375.634517766497
740,Chevrolet Tavera Neo 3 LS 10 Str,409999,60000,Diesel,Individual,Manual,Second Owner,12.2,1994.0,105.3,10.0,9,33606.475409836065
741,Maruti Swift VDI,430000,86000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0,12,18777.292576419215
742,Datsun GO Plus D1,300000,15000,Petrol,Individual,Manual,First Owner,20.62,1198.0,67.0,7.0,10,14548.981571290009
743,Maruti Swift Dzire VDi,350000,137500,Diesel,Individual,Manual,Third Owner,19.3,1248.0,73.9,5.0,14,18134.715025906735
744,Renault KWID 1.0 RXT Optional,400000,60000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5.0,7,17383.746197305518
745,Chevrolet Enjoy 1.3 TCDi LS 7,420000,70000,Diesel,Individual,Manual,First Owner,18.2,1248.0,73.74,7.0,9,23076.923076923078
746,Maruti Wagon R VXI BS IV,430000,5000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,10,20965.382740126766
747,Maruti Swift VXI Optional,573000,30000,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5.0,8,28088.23529411765
748,Hyundai EON D Lite Plus,210000,40000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,5.0,10,9952.60663507109
749,Renault Duster 110PS Diesel RxZ,600000,60000,Diesel,Individual,Manual,First Owner,19.01,1461.0,108.45,5.0,10,31562.335612835348
750,Honda City 2017-2020 GXi,150000,70000,Petrol,Individual,Manual,Third Owner,17.7,1497.0,78.0,5.0,17,8474.57627118644
751,Tata Tigor 1.2 Revotron XT,550000,15000,Petrol,Individual,Manual,First Owner,20.3,1199.0,84.0,5.0,6,27093.5960591133
752,Maruti Swift Dzire ZDi,320000,110000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,5.0,14,16580.310880829016
753,Maruti 800 AC,80000,70000,Petrol,Individual,Manual,Fourth & Above Owner,16.1,796.0,37.0,4.0,25,4968.944099378881
754,Honda Amaze VX Diesel BSIV,800000,10000,Diesel,Individual,Manual,First Owner,27.4,1498.0,98.63,5.0,6,29197.080291970804
755,Maruti Ertiga ZXI,500000,60000,Petrol,Individual,Manual,First Owner,16.02,1373.0,93.7,7.0,12,31210.986267166045
756,Tata Manza Aura Quadrajet,229999,110000,Diesel,Individual,Manual,Second Owner,18.8,1248.0,90.0,5.0,14,12233.989361702128
757,Hyundai i20 Asta 1.2,630000,35000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,10,33870.967741935485
758,Maruti Omni E MPI STD BS IV,190000,70000,Petrol,Individual,Manual,Second Owner,16.8,796.0,34.2,8.0,9,11309.52380952381
759,Mahindra Bolero VLX CRDe,450000,100000,Diesel,Individual,Manual,Second Owner,13.6,2523.0,63.0,7.0,14,33088.23529411765
760,Maruti Alto Std,95000,120000,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,5.0,17,4822.335025380711
761,Maruti Omni 8 Seater BSII,101000,90000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,35.0,8.0,16,5126.903553299492
762,Honda Amaze E i-Dtech,500000,70000,Diesel,Individual,Manual,Second Owner,25.8,1498.0,98.6,5.0,9,19379.84496124031
763,Toyota Innova 2.5 VX (Diesel) 7 Seater,1019999,88000,Diesel,Individual,Manual,Second Owner,12.99,2494.0,100.6,7.0,11,78521.86297151654
764,Hyundai EON Era Plus,244000,38000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,5.0,13,11563.981042654028
765,Maruti Wagon R LXI BS IV,250000,90000,Petrol,Individual,Manual,Second Owner,20.51,998.0,67.04,5.0,12,12189.176011701607
766,Maruti Baleno Alpha 1.2,660000,60000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,9,30841.121495327105
767,Hyundai i20 Magna,270000,60000,Petrol,Individual,Manual,First Owner,18.5,1197.0,80.0,5.0,15,14594.594594594595
768,Maruti Ritz VDi,280000,156060,Diesel,Individual,Manual,First Owner,23.2,1248.0,73.94,5.0,13,12068.96551724138
769,Hyundai Creta 1.6 CRDi SX,1050000,60000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5.0,8,53380.78291814946
770,Maruti Swift Dzire VXI,525000,70000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0,8,25179.856115107912
771,Hyundai Verna 1.6 CRDi S,850000,35000,Diesel,Individual,Manual,First Owner,23.9,1582.0,126.2,5.0,8,35564.85355648536
772,Mahindra XUV500 W10 1.99 mHawk,1165000,50000,Diesel,Individual,Manual,First Owner,16.0,1997.0,140.0,7.0,9,72812.5
773,Maruti Swift ZXI,345000,50000,Petrol,Individual,Manual,Second Owner,18.6,1197.0,85.8,5.0,13,18548.387096774193
774,Hyundai Santro Xing XS,95000,100000,Petrol,Individual,Manual,Second Owner,17.8,1086.0,63.0,5.0,18,5337.078651685393
775,Maruti Alto 800 LXI,241000,15000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,10,10598.06508355321
776,Maruti Alto 800 LXI,235000,20000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,10,10334.212840809148
777,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,615000,80000,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,5.0,10,27009.222661396576
778,Mahindra Verito Vibe 1.5 dCi D4,350000,110000,Diesel,Individual,Manual,Second Owner,20.8,1461.0,64.1,5.0,11,16826.923076923078
779,Maruti Wagon R Stingray VXI,350000,35000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,11,17064.84641638225
780,Maruti Wagon R Stingray VXI,380000,35000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,11,18527.547537786446
781,Tata Sumo Gold EX BSIII,400000,140000,Diesel,Individual,Manual,First Owner,14.07,2956.0,69.01,7.0,8,28429.282160625444
782,Maruti Zen Estilo LXI BS IV,220000,40000,Petrol,Individual,Manual,First Owner,19.0,998.0,67.1,5.0,15,11578.947368421053
783,Tata Sumo GX,270000,110000,Diesel,Individual,Manual,Third Owner,14.4,2179.0,120.0,7.0,17,18750.0
784,Maruti Ritz ZXi,275000,70000,Petrol,Individual,Manual,Second Owner,18.5,1197.0,85.8,5.0,13,14864.864864864865
785,Tata Indica Vista Terra 1.4 TDI,125000,100000,Diesel,Individual,Manual,Second Owner,17.0,1405.0,71.0,5.0,16,7352.941176470588
786,Hyundai i10 Sportz 1.1L,360000,20000,Petrol,Individual,Manual,First Owner,19.81,1086.0,68.05,5.0,10,18172.64008076729
787,Hyundai Grand i10 1.2 Kappa Sportz BSIV,550000,15000,Petrol,Individual,Manual,First Owner,18.9,1197.0,81.86,5.0,6,29100.529100529104
788,Ford Fiesta 1.4 ZXi Duratec,200000,70000,Petrol,Individual,Manual,Second Owner,16.6,1388.0,68.0,5.0,14,12048.192771084336
789,Mahindra KUV 100 mFALCON G80 K2,327000,20000,Petrol,Individual,Manual,First Owner,18.15,1198.0,82.0,6.0,9,18016.528925619838
790,Hyundai i10 Sportz 1.1L,425000,15000,Petrol,Individual,Manual,First Owner,19.81,1086.0,68.05,5.0,9,21453.811206461385
791,Maruti Swift Dzire VDI,620000,107000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,5.0,8,21830.985915492958
792,Tata Indica Vista Aqua 1.3 Quadrajet BSIV,130000,54000,Diesel,Individual,Manual,Second Owner,18.4,1248.0,75.0,5.0,14,7065.217391304348
793,Maruti Alto LX,120000,58000,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,5.0,16,6091.370558375635
794,Mahindra Scorpio SLE BSIV,400000,110000,Diesel,Individual,Manual,Second Owner,12.05,2179.0,120.0,8.0,14,33195.02074688797
795,Hyundai Verna CRDi SX,185000,90000,Diesel,Individual,Manual,Fourth & Above Owner,16.8,1493.0,110.0,5.0,18,11011.904761904761
796,Hyundai EON 1.0 Kappa Magna Plus,204999,43000,Petrol,Individual,Manual,Second Owner,20.3,998.0,68.05,5.0,10,10098.47290640394
797,Maruti Swift Dzire VDI,625000,43000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,5.0,8,22007.04225352113
798,Maruti Ertiga ZDI,600000,60000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.8,7.0,12,28887.81896966779
799,Tata Indigo GLX,150000,150000,Petrol,Individual,Manual,First Owner,12.8,1396.0,85.0,5.0,14,11718.75
800,Chevrolet Sail Hatchback Petrol,229999,46000,Petrol,Individual,Manual,First Owner,18.2,1199.0,84.8,5.0,12,12637.307692307693
801,Maruti Omni E MPI STD BS IV,220000,10000,Petrol,Individual,Manual,First Owner,16.8,796.0,34.2,8.0,7,13095.238095238095
802,Hyundai i20 Asta Option 1.2,576000,35000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,9,30967.741935483868
803,Renault KWID RXT,265000,50000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5.0,9,10528.406833531983
804,Maruti Esteem Vxi - BSII,50000,60000,Petrol,Individual,Manual,Third Owner,19.41878335651954,1428.1927441027171,87.30303358208954,5.0,20,2574.826603810548
805,Hyundai Verna 1.6 VGT CRDi,300000,80000,Diesel,Individual,Manual,First Owner,22.32,1582.0,126.32,5.0,14,13440.860215053763
806,Tata Tigor 1.05 Revotorq XZ,420000,110000,Diesel,Individual,Manual,First Owner,24.7,1047.0,69.0,5.0,8,17004.04858299595
807,Maruti Ertiga VDI,750000,14000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.76,7.0,10,36109.77371208474
808,Maruti Alto 800 CNG LXI,165000,60000,CNG,Individual,Manual,Second Owner,30.46,796.0,47.3,5.0,13,5416.940249507551
809,Renault KWID RXT,290000,28000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5.0,8,11521.652761223679
810,Hyundai EON Era,160000,57000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,5.0,14,7582.938388625592
811,Maruti Swift Dzire ZDI,695000,50000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,8,26137.645731478
812,Maruti Wagon R Duo Lxi,231000,70000,LPG,Individual,Manual,First Owner,26.2,998.0,58.2,5.0,13,8816.79389312977
813,Toyota Corolla Altis D-4D J,1050000,60000,Diesel,Individual,Manual,First Owner,21.43,1364.0,87.2,5.0,10,48996.73355109659
814,Hyundai i20 Sportz 1.2,400000,70000,Petrol,Individual,Manual,First Owner,18.5,1197.0,82.85,5.0,12,21621.62162162162
815,Hyundai i20 2015-2017 Sportz 1.2,500000,40000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,9,26881.720430107525
816,Tata Manza Aqua Quadrajet BS IV,150000,120000,Diesel,Individual,Manual,Second Owner,21.12,1248.0,88.8,5.0,15,7102.272727272727
817,Mahindra Xylo H4,400000,140000,Diesel,Individual,Manual,Second Owner,14.02,2179.0,118.3,7.0,9,28530.670470756064
818,Tata Indigo LS,120000,100000,Diesel,Individual,Manual,Second Owner,17.0,1405.0,70.0,5.0,15,7058.823529411765
819,Mahindra Xylo H4,480000,120000,Diesel,Individual,Manual,Second Owner,14.02,2179.0,118.3,7.0,11,34236.804564907274
820,Tata Indigo CS LX (TDI) BS-III,200000,120000,Diesel,Individual,Manual,Second Owner,19.09,1405.0,69.01,5.0,12,10476.689366160294
821,Ford Fiesta Classic 1.4 Duratorq CLXI,300000,64000,Diesel,Individual,Manual,Second Owner,17.8,1399.0,67.0,5.0,13,16853.932584269663
822,Maruti Celerio VXI,350000,25000,Petrol,Individual,Manual,First Owner,23.1,998.0,67.04,5.0,10,15151.51515151515
823,Renault Triber RXT BSIV,580000,12000,Petrol,Individual,Manual,First Owner,20.0,999.0,72.0,7.0,6,29000.0
824,Chevrolet Beat Diesel LT,200000,70000,Diesel,Individual,Manual,Second Owner,25.44,936.0,57.6,5.0,13,7861.635220125786
825,Mahindra Scorpio Getaway,750000,120000,Diesel,Individual,Manual,First Owner,11.0,2179.0,120.0,5.0,9,68181.81818181818
826,Renault KWID RXT,261000,90000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5.0,9,10369.48748510131
827,Chevrolet Sail 1.2 LS ABS,371000,40000,Petrol,Individual,Manual,First Owner,18.2,1199.0,82.4,5.0,10,20384.615384615387
828,Mahindra Bolero DI Non AC BSIII,320000,300000,Diesel,Individual,Manual,Third Owner,13.6,2523.0,63.0,7.0,15,23529.411764705885
829,Tata Indigo CS LX (TDI) BS III,204999,120000,Diesel,Individual,Manual,Second Owner,19.09,1396.0,69.0,5.0,13,10738.55421686747
830,Hyundai Accent GLX,110000,90000,Petrol,Individual,Manual,Second Owner,13.2,1495.0,94.0,5.0,22,8333.333333333334
831,Ford Fusion 1.4 TDCi Diesel,150000,100000,Diesel,Individual,Manual,Fourth & Above Owner,17.7,1399.0,68.0,5.0,16,8474.57627118644
832,Mahindra Bolero 2011-2019 SLX,625000,90000,Diesel,Individual,Manual,Second Owner,15.96,2523.0,62.1,7.0,9,39160.40100250627
833,Mahindra Scorpio 1.99 S10,1300000,50000,Diesel,Individual,Manual,Second Owner,15.4,1997.0,120.0,7.0,8,84415.58441558441
834,Skoda Octavia Ambition 2.0 TDI MT,900000,168000,Diesel,Individual,Manual,First Owner,20.6,1968.0,141.0,5.0,10,43689.32038834951
835,Ford Figo Diesel Titanium,180000,110000,Diesel,Individual,Manual,Second Owner,20.0,1399.0,68.0,5.0,15,9000.0
836,Mahindra Bolero SLX,421000,120000,Diesel,Individual,Manual,Second Owner,13.6,2523.0,63.0,7.0,15,30955.88235294118
837,Honda WR-V i-DTEC VX,900000,40000,Diesel,Individual,Manual,First Owner,25.5,1498.0,98.6,5.0,8,35294.117647058825
838,Honda City 2017-2020 GXi,165000,110000,Petrol,Individual,Manual,Second Owner,17.7,1497.0,78.0,5.0,19,9322.033898305084
839,Hyundai i20 Magna 1.4 CRDi,270000,100000,Diesel,Individual,Manual,Fourth & Above Owner,21.9,1396.0,90.0,5.0,15,12328.767123287673
840,Maruti Vitara Brezza VDi,750000,40000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,8,30864.197530864196
841,Hyundai Elite i20 Petrol Asta Option,750000,30000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.86,5.0,6,40322.58064516129
842,Maruti 800 Std,40000,80000,Petrol,Individual,Manual,Third Owner,16.1,796.0,37.0,4.0,23,2484.4720496894406
843,Ford Figo Diesel Titanium,190000,90000,Diesel,Individual,Manual,Second Owner,20.0,1399.0,68.0,5.0,14,9500.0
844,Toyota Innova 2.5 G4 Diesel 7-seater,395000,200000,Diesel,Individual,Manual,Third Owner,12.8,2494.0,102.0,7.0,16,30859.375
845,Toyota Fortuner 3.0 Diesel,800000,125000,Diesel,Individual,Manual,Second Owner,11.5,2982.0,171.0,7.0,15,69565.21739130435
846,Hyundai i20 1.2 Sportz,315000,80000,Petrol,Individual,Manual,First Owner,17.0,1197.0,80.0,5.0,14,18529.41176470588
847,Audi A4 2.0 TDI,1600000,44000,Diesel,Individual,Automatic,Second Owner,16.55,1968.0,147.51,5.0,11,96676.73716012084
848,Toyota Etios GD,409999,90000,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.04,5.0,12,17380.203476049173
849,Hyundai i20 Sportz 1.2,340000,70000,Petrol,Individual,Manual,First Owner,18.5,1197.0,82.85,5.0,12,18378.37837837838
850,Hyundai EON Magna Plus,270000,43000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,5.0,10,12796.208530805687
851,Tata Zest Quadrajet 1.3 75PS XE,280000,80000,Diesel,Individual,Manual,First Owner,22.95,1248.0,74.0,5.0,8,12200.435729847495
852,Tata Indica Vista Quadrajet VX,130000,60000,Diesel,Individual,Manual,First Owner,22.3,1248.0,74.0,5.0,13,5829.596412556054
853,Hyundai EON Era Plus,260000,18945,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,5.0,11,12322.274881516587
854,Hyundai Grand i10 1.2 CRDi Asta,710000,70000,Diesel,Individual,Manual,First Owner,24.0,1186.0,73.97,5.0,7,29583.333333333332
855,Maruti Eeco Smiles 7 Seater Standard,204999,100000,Petrol,Individual,Manual,Third Owner,15.1,1196.0,73.0,7.0,12,13576.092715231789
856,Datsun GO Plus Anniversary Edition,300000,60000,Petrol,Individual,Manual,First Owner,20.62,1198.0,67.0,7.0,8,14548.981571290009
857,Maruti Swift Dzire VDi,180000,144000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,5.0,16,9326.42487046632
858,Mahindra TUV 300 T6 Plus,700000,120000,Diesel,Individual,Manual,First Owner,18.49,1493.0,100.0,7.0,9,37858.30178474852
859,Hyundai i20 1.4 CRDi Magna,320000,107825,Diesel,Individual,Manual,Second Owner,21.9,1396.0,90.0,5.0,13,14611.872146118722
860,Maruti Alto 800 VXI Plus,370000,15000,Petrol,Individual,Manual,First Owner,22.05,796.0,47.3,5.0,5,16780.045351473924
861,Renault KWID RXT Optional,340000,10000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5.0,7,13508.144616607071
862,Maruti XL6 Alpha,1040000,1620,Petrol,Individual,Manual,First Owner,19.01,1462.0,103.2,6.0,6,54708.04839558127
